Grado,Asignatura,ID,Errors
3,Tecnología e Informática,CO-TEC-3-inventos-transporte-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-maquinas-simples-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-materiales-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-natural-artificial-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-partes-computador-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-seguridad-digital-001,"V3.0: Missing Periodo"
3,Tecnología e Informática,CO-TEC-3-uso-artefactos-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-algoritmos-diagramas-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-energia-fuentes-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-estructuras-basicas-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-evolucion-artefactos-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-hardware-software-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-internet-navegacion-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-maquinas-compuestas-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-procesadores-texto-001,"V3.0: Missing Periodo"
5,Tecnología e Informática,CO-TEC-5-seguridad-redes-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-circuitos-basicos-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-historia-tecnologia-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-hoja-calculo-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-mantenimiento-pc-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-materiales-propiedades-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-mecanismos-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-pensamiento-computacional-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-redes-sociales-riesgos-001,"V3.0: Missing Periodo"
7,Tecnología e Informática,CO-TEC-7-sistema-operativo-001,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-action-verbs-108,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-alphabet-101,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-animals-105,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-colors-103,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-family-104,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-greetings-110,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-house-parts-107,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-numbers-10-102,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-numbers-20-106,"V3.0: Missing Periodo"
3,ingles,UNI-ENG-03-home-safety-001,"V3.0: Missing Periodo"
3,ingles,UNI-ENG-03-pet-care-001,"V3.0: Missing Periodo"
3,ingles,CO-ENG-03-basic-weather-109,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-classroom-words-105,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-clothes-fashion-107,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-colors-shapes-104,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-feelings-emotions-110,"V3.0: Missing Periodo"
4,ingles,CO-ENG-04-food-drinks-108,"V3.0: Missing Periodo"
